조사분기,표본구분,광역상권,상권명,시군구코드,용도지역1명,용도지역2명,용도지구1명,용도지구2명,이용현황_지상층수,이용현황_지하층수,사용승인일자,건물구조명,건물주용도,건폐율,용적률,지하철역출구,버스정류장,도로접면명,옥내주차장 유무명,옥외주차장 유무명,승객용 승강기,대지면적,건축연면적,전용면적,공용면적,전용률,현재임대계약면적,공실면적,비임대면적,특이면적,특이면적외 기타면적,지목명,토지대장상 토지면적,전환률,조사층,임차인사용현황구분,임차인업종대분류,임차인업종소분류,전용면적(호),공용면적(호),임차인별면적합계,제1월계약임대료_보증금,제1월계약임대료_월세,제1월계약임대료_㎡당환산임대료,제1월시장임대료_보증금,제1월시장임대료_월세,제1월시장임대료_㎡당환산임대료,제1월관리비총액,제1월관리비실비총액,제1월공실,제2월계약임대료_보증금,제2월계약임대료_월세,제2월계약임대료_㎡당환산임대료,제2월시장임대료_보증금,제2월시장임대료_월세,제2월시장임대료_㎡당환산임대료,제2월관리비총액,제2월관리비실비총액,제2월공실,제3월계약임대료_보증금,제3월계약임대료_월세,제3월계약임대료_㎡당환산임대료,제3월시장임대료_보증금,제3월시장임대료_월세,제3월시장임대료_㎡당환산임대료,제3월관리비총액,제3월관리비실비총액,제3월공실,현계약개시일,현계약기간,최초계약개시일,최종조사산정액_토지면적 ㎡단가,최종조사산정액_연면적 ㎡당단가,기타수입_연면적 ㎡당 단가,영업경비_연면적 ㎡당 단가
202601,6,,0.비상권,41360,13,0,0,0,1,0,4,32,03,2,1,700,120,1,0,0,0,3,1,3,1,10,1,1,1,1,1,8,3,3,1,1,S,952,3,1,3,6,7,11,6,7,80100,1,1,0,6,7,11,6,7,80100,1,1,0,6,7,11,6,7,80000,1,1,0,2026,3,8,5800000,29310000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,0,7,31,04,6,1,90,100,8,1,0,0,3,2,4,1,10,2,1,1,1,1,8,3,3,1,1,I,561,1,1,1,4,4,9,4,4,34900,1,1,0,4,4,9,4,4,34900,1,1,0,4,4,9,4,4,34400,1,1,0,2025,3,10,4590000,7300000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,0,7,31,04,6,1,90,100,8,1,0,0,3,2,4,1,10,2,1,1,1,1,8,3,3,2,1,I,561,4,1,4,7,6,7,7,6,17800,1,1,0,7,6,7,7,6,17800,1,1,0,7,6,7,7,6,17800,1,1,0,2025,3,10,4590000,7300000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,1,1,11,04,1,1,900,170,8,0,0,0,2,2,4,1,10,1,2,1,1,1,8,2,2,-1,6,0,999,1,1,1,1,1,1,2,2,4400,1,1,1,1,1,1,2,2,4400,1,1,1,1,1,1,2,2,4400,1,1,1,0,1,1,2170000,3340000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,1,1,11,04,1,1,900,170,8,0,0,0,2,2,4,1,10,1,2,1,1,1,8,2,2,1,6,0,999,3,1,3,1,1,1,6,5,17600,1,1,1,1,1,1,6,5,17600,1,1,1,1,1,1,6,5,17600,1,1,1,0,1,1,2170000,3340000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,0,7,32,03,6,1,800,350,6,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,S,969,3,1,3,4,4,7,4,5,17700,1,1,0,4,4,7,4,5,17700,1,1,0,4,4,7,4,5,17700,1,1,0,2025,3,8,2830000,5570000,1,1
202601,6,,0.비상권,41360,13,0,0,0,1,0,6,32,04,5,1,810,340,6,0,1,0,3,2,4,1,10,2,1,1,1,1,8,3,3,1,1,I,561,4,1,4,6,5,7,6,5,17000,1,1,0,6,5,7,6,5,17000,1,1,0,6,5,7,6,5,17000,1,1,0,2024,3,9,3260000,8120000,1,2
202601,6,,0.비상권,41360,13,0,0,0,1,0,6,32,04,5,1,810,340,6,0,1,0,3,2,4,1,10,2,1,1,1,1,8,3,3,1,1,I,561,4,1,4,6,5,7,6,5,16500,1,1,0,6,5,7,6,5,16500,1,1,0,6,5,7,6,5,16500,1,1,0,2024,3,9,3260000,8120000,1,2
202601,6,,오산시청,41370,22,0,0,0,1,0,6,32,04,7,1,없음,200,6,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,I,562,3,1,3,6,5,8,6,5,25300,1,1,0,6,5,8,6,5,25300,1,1,0,6,5,8,6,5,25300,1,1,0,2025,3,10,3580000,5590000,1,1
202601,6,,오산시청,41370,22,0,0,0,1,0,1,21,03,1,1,848,없음,6,0,0,0,1,2,4,1,10,1,1,1,1,1,8,1,3,1,1,I,561,2,1,3,5,5,7,5,5,18800,1,1,0,5,5,7,5,5,18800,1,1,0,5,5,7,5,5,18800,1,1,0,2025,3,9,3350000,2530000,1,3
202601,6,,오산시청,41370,22,0,0,0,1,0,1,21,03,1,1,848,없음,6,0,0,0,1,2,4,1,10,1,1,1,1,1,8,1,3,2,2,0,999,2,1,2,1,1,1,4,4,8900,1,1,0,1,1,1,4,4,8900,1,1,0,1,1,1,4,4,8900,1,1,0,0,1,1,3350000,2530000,1,3
202601,6,,오산시청,41370,22,0,0,0,1,0,1,21,03,1,1,없음,150,8,0,0,0,2,2,4,1,10,2,1,1,1,1,8,2,3,1,1,G,471,4,1,4,5,4,6,5,4,10200,1,1,0,5,4,6,5,4,10200,1,1,0,5,4,6,5,4,10200,1,1,0,2025,3,6,3530000,2910000,1,1
