조사분기,표본구분,광역상권,상권명,시군구코드,용도지역1명,용도지역2명,용도지구1명,용도지구2명,이용현황_지상층수,이용현황_지하층수,사용승인일자,건물구조명,건물주용도,건폐율,용적률,지하철역출구,버스정류장,도로접면명,옥내주차장 유무명,옥외주차장 유무명,승객용 승강기,대지면적,건축연면적,전용면적,공용면적,전용률,현재임대계약면적,공실면적,비임대면적,특이면적,특이면적외 기타면적,지목명,토지대장상 토지면적,전환률,조사층,임차인사용현황구분,임차인업종대분류,임차인업종소분류,전용면적(호),공용면적(호),임차인별면적합계,제1월계약임대료_보증금,제1월계약임대료_월세,제1월계약임대료_㎡당환산임대료,제1월시장임대료_보증금,제1월시장임대료_월세,제1월시장임대료_㎡당환산임대료,제1월관리비총액,제1월관리비실비총액,제1월공실,제2월계약임대료_보증금,제2월계약임대료_월세,제2월계약임대료_㎡당환산임대료,제2월시장임대료_보증금,제2월시장임대료_월세,제2월시장임대료_㎡당환산임대료,제2월관리비총액,제2월관리비실비총액,제2월공실,제3월계약임대료_보증금,제3월계약임대료_월세,제3월계약임대료_㎡당환산임대료,제3월시장임대료_보증금,제3월시장임대료_월세,제3월시장임대료_㎡당환산임대료,제3월관리비총액,제3월관리비실비총액,제3월공실,현계약개시일,현계약기간,최초계약개시일,최종조사산정액_토지면적 ㎡단가,최종조사산정액_연면적 ㎡당단가,기타수입_연면적 ㎡당 단가,영업경비_연면적 ㎡당 단가
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,7,1,300,300,5,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,1,1,I,562,1,1,1,7,6,12,6,6,235000,1,1,0,7,6,12,6,6,235000,1,1,0,7,6,12,6,6,235000,1,1,0,2025,3,10,52350000,80910000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,7,1,300,300,5,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,1,1,I,562,1,1,1,6,6,12,6,6,213000,1,1,0,6,6,12,6,6,213000,1,1,0,6,6,12,6,6,213000,1,1,0,2023,3,10,52350000,80910000,1,5
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,1,1,200,200,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,I,562,2,1,2,6,6,10,6,6,56300,1,1,0,6,6,10,6,6,56300,1,1,0,6,6,10,6,6,56300,1,1,0,2024,3,9,18940000,35260000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,1,1,200,200,8,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,I,561,2,1,2,6,6,9,6,6,46800,1,1,0,6,6,9,6,6,46800,1,1,0,6,6,9,6,6,46800,1,1,0,2024,3,10,18940000,35260000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,422,없음,8,0,0,0,2,2,4,1,9,2,1,1,1,1,8,2,3,1,1,I,561,4,1,4,7,6,9,7,6,37800,2,1,0,7,6,9,7,6,37800,2,1,0,7,6,9,7,6,37800,2,1,0,2025,4,9,21510000,21600000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,11,04,1,1,422,없음,8,0,0,0,2,2,4,1,9,2,1,1,1,1,8,2,3,2,1,I,561,3,1,3,6,5,8,6,5,26500,2,1,0,6,5,8,6,5,26500,2,1,0,6,5,8,6,5,26500,2,1,0,2025,4,9,21510000,21600000,1,4
202503,6,1.도심,광화문,11110,22,0,0,0,1,0,1,51,03,1,1,300,250,8,0,0,0,1,1,3,1,10,1,1,1,1,1,8,1,3,1,1,I,561,3,1,3,7,7,12,7,7,106400,1,1,0,7,7,12,7,7,106400,1,1,0,7,7,12,7,7,106400,1,1,0,2025,3,10,27990000,31870000,1,5
202503,6,1.도심,종로,11110,22,0,999,0,1,0,1,51,04,1,1,347,없음,10,0,0,0,2,1,3,1,10,1,1,1,1,1,8,2,3,1,1,I,561,3,1,3,6,6,9,8,6,51200,1,1,0,6,6,9,8,6,51200,1,1,0,6,6,9,8,6,51200,1,1,0,2025,3,10,18100000,29810000,1,4
202503,6,1.도심,종로,11110,22,0,999,0,1,0,1,51,04,1,1,316,없음,10,0,0,0,2,1,2,1,10,1,1,1,1,1,8,2,3,1,1,I,561,2,1,2,6,6,11,6,6,79600,1,1,0,6,6,11,6,6,79600,1,1,0,6,6,11,6,6,79600,1,1,0,2024,3,9,17460000,30080000,1,4
202503,6,1.도심,종로,11110,22,0,999,0,1,0,1,51,04,1,1,406,406,11,0,0,0,1,1,2,1,10,1,1,1,1,1,8,1,3,1,1,I,561,2,1,2,7,5,10,7,5,52500,1,1,0,7,5,10,7,5,52500,1,1,0,7,5,10,7,5,52500,1,1,0,2024,5,9,16660000,30700000,1,4
